airline,airlineID,source airport,source airport id,destination apirport,destination airport id,codeshare,stops,equipment
2B,0001,AER,2965,KZN,2990,,0,CR2
2B,0002,ASF,2966,KZN,2990,,0,CR2
2B,0003,ASF,2966,MRV,2962,,0,CR2
2B,0004,CEK,2968,KZN,2990,,0,CR2
2B,0005,CEK,2968,OVB,4078,,0,CR2
2B,0006,DME,4029,KZN,2990,,0,CR2
2B,0007,DME,4029,NBC,6969,,0,CR2
2B,0008,DME,4029,TGK,\N,,0,CR2
2B,0009,DME,4029,UUA,6160,,0,CR2
2B,0010,EGO,6156,KGD,2952,,0,CR2
2B,0011,EGO,6156,KZN,2990,,0,CR2
2B,0012,GYD,2922,NBC,6969,,0,CR2
2B,0013,KGD,2952,EGO,6156,,0,CR2
2B,0014,KZN,2990,AER,2965,,0,CR2
2B,0015,KZN,2990,ASF,2966,,0,CR2
2B,0016,KZN,2990,CEK,2968,,0,CR2
2B,0017,KZN,2990,DME,4029,,0,CR2
2B,0018,KZN,2990,EGO,6156,,0,CR2
2B,0019,KZN,2990,LED,2948,,0,CR2
2B,0020,KZN,2990,SVX,2975,,0,CR2
2B,0021,LED,2948,KZN,2990,,0,CR2
2B,0022,LED,2948,NBC,6969,,0,CR2
2B,0023,LED,2948,UUA,6160,,0,CR2
2B,0024,MRV,2962,ASF,2966,,0,CR2
2B,0025,NBC,6969,DME,4029,,0,CR2
2B,0026,NBC,6969,GYD,2922,,0,CR2
2B,0027,NBC,6969,LED,2948,,0,CR2
2B,0028,NBC,6969,SVX,2975,,0,CR2
2B,0029,NJC,2972,SVX,2975,,0,CR2
2B,0030,NJC,2972,UUA,6160,,0,CR2
2B,0031,NUX,4364,SVX,2975,,0,CR2
2B,0032,OVB,4078,CEK,2968,,0,CR2
2B,0033,OVB,4078,SVX,2975,,0,CR2
2B,0034,SVX,2975,KZN,2990,,0,CR2
2B,0035,SVX,2975,NBC,6969,,0,CR2
2B,0036,SVX,2975,NJC,2972,,0,CR2
2B,0037,SVX,2975,NUX,4364,,0,CR2
2B,0038,SVX,2975,OVB,4078,,0,CR2
2B,0039,TGK,\N,DME,4029,,0,CR2
2B,0040,UUA,6160,DME,4029,,0,CR2
2B,0041,UUA,6160,LED,2948,,0,CR2
2B,0042,UUA,6160,NJC,2972,,0,CR2
2G,0001,BTK,2936,IKT,2937,,0,A81
2G,0002,BTK,2936,OVB,4078,,0,A81
2G,0003,CEK,2968,OVB,4078,,0,A81
2G,0004,HTA,2935,IKT,2937,,0,AN4
2G,0005,IKT,2937,BTK,2936,,0,A81
2G,0006,IKT,2937,HTA,2935,,0,AN4
2G,0007,IKT,2937,KCK,\N,,0,AN4
2G,0008,IKT,2937,ODO,8944,,0,AN4
2G,0009,IKT,2937,OVB,4078,,0,A81
2G,0010,IKT,2937,UKX,6924,,0,AN4
2G,0011,IKT,2937,ULK,9026,,0,AN4
2G,0012,IKT,2937,YKS,2923,,0,A81
2G,0013,KCK,\N,IKT,2937,,0,AN4
2G,0014,MJZ,2925,OVB,4078,,0,A81
2G,0015,ODO,8944,IKT,2937,,0,AN4
2G,0016,OVB,4078,BTK,2936,,0,A81
2G,0017,OVB,4078,CEK,2968,,0,A81
2G,0018,OVB,4078,IKT,2937,,0,A81
2G,0019,UKX,6924,IKT,2937,,0,AN4
2G,0020,ULK,9026,IKT,2937,,0,AN4
2G,0021,YKS,2923,IKT,2937,,0,A81
